lambda_group,cell_length,cell_velocity
Small ¦Ë,16.59809293,0.462304698
Small ¦Ë,123.7701122,3.976259695
Small ¦Ë,58.63237705,8.886201643
Small ¦Ë,29.3121923,11.94879218
Small ¦Ë,26.43303993,11.02436902
Small ¦Ë,54.4231124,14.04223059
Small ¦Ë,40.304225,16.65196967
Small ¦Ë,70.73836328,12.03818778
Small ¦Ë,18.66920072,29.52241866
Small ¦Ë,40.66944695,12.85280107
Small ¦Ë,37.76697032,1.713137005
Small ¦Ë,75.53909702,17.88356799
Small ¦Ë,2.28775789,5.426899601
Small ¦Ë,19.01013796,0.219653338
Small ¦Ë,39.22216726,7.103712009
Small ¦Ë,39.80088129,0.286944767
Small ¦Ë,33.75042287,16.76424504
Small ¦Ë,41.26203214,10.73583359
Small ¦Ë,18.76671689,3.700022952
Small ¦Ë,71.58121262,11.12423437
Small ¦Ë,103.8531858,12.93904114
Small ¦Ë,45.27429624,10.90341065
Small ¦Ë,70.5684064,8.516076291
Small ¦Ë,21.44176074,4.841598487
Small ¦Ë,45.90060436,1.410001528
Small ¦Ë,113.4779085,17.62173951
Small ¦Ë,13.84469764,0.145159007
Small ¦Ë,69.32577999,11.55084289
Small ¦Ë,47.4066956,13.21024762
Small ¦Ë,53.1880554,1.470429409
Small ¦Ë,23.56394673,6.827294162
Small ¦Ë,47.44014416,22.4303982
Small ¦Ë,26.72926414,12.80492884
Small ¦Ë,38.6720882,12.34031022
Small ¦Ë,39.11696341,29.19076446
Small ¦Ë,104.2998634,3.160948859
Small ¦Ë,13.95295782,13.11822706
Small ¦Ë,70.00058997,21.23627441
Small ¦Ë,86.22437554,5.980059945
Small ¦Ë,2.199292919,12.5772079
Small ¦Ë,104.2168252,12.74163221
Small ¦Ë,6.934149472,5.219057186
Small ¦Ë,22.83256116,22.43722611
Small ¦Ë,46.93418428,12.40988637
Small ¦Ë,74.50097974,4.656838918
Small ¦Ë,27.46459298,8.364569121
Small ¦Ë,41.87057289,2.746531142
Small ¦Ë,39.38312686,18.32683803
Small ¦Ë,38.80684451,6.507797479
Small ¦Ë,44.23207507,35.20133429
Large ¦Ë,66.1504306,5.682454758
Large ¦Ë,1.072340741,7.635181553
Large ¦Ë,9.772254405,8.301524342
Large ¦Ë,81.49988061,6.93190426
Large ¦Ë,81.38078564,15.82857285
Large ¦Ë,44.70310367,4.587697733
Large ¦Ë,24.62998685,5.433237167
Large ¦Ë,2.014849005,10.68685664
Large ¦Ë,47.16102933,10.64559016
Large ¦Ë,136.2831778,0.599088743
Large ¦Ë,60.04642559,22.83760607
Large ¦Ë,67.43166132,12.63682655
Large ¦Ë,69.87535721,2.230621276
Large ¦Ë,144.8648049,8.693028859
Large ¦Ë,112.1015838,0.265834559
Large ¦Ë,111.3713041,16.6859824
Large ¦Ë,84.44091725,13.10098621
Large ¦Ë,9.107273988,31.87644827
Large ¦Ë,82.02936847,11.13500091
Large ¦Ë,17.67869317,23.29345691
Large ¦Ë,68.26715235,41.44420496
Large ¦Ë,132.1803755,23.7640097
Large ¦Ë,70.8691483,15.81544174
Large ¦Ë,188.9073303,23.3973316
Large ¦Ë,41.27543323,13.53542874
Large ¦Ë,131.4038789,7.962957824
Large ¦Ë,105.9962779,12.03444427
Large ¦Ë,75.02245269,12.75106569
Large ¦Ë,83.97127493,18.7863911
Large ¦Ë,93.79356976,2.080187741
Large ¦Ë,80.59677228,18.04589192
Large ¦Ë,99.45907489,11.47062594
Large ¦Ë,93.01248618,4.173250289
Large ¦Ë,177.7634242,19.72406668
Large ¦Ë,11.30949911,26.81180588
Large ¦Ë,90.66701756,23.88477954
Large ¦Ë,12.26726093,17.06373354
Large ¦Ë,1.887192977,10.00998449
Large ¦Ë,40.98531068,0.208766085
Large ¦Ë,85.19885259,8.723658542
Large ¦Ë,38.24479189,7.542023168
Large ¦Ë,76.51298725,15.47191564
Large ¦Ë,29.65123705,19.57450272
Large ¦Ë,4.601710697,54.59210868
Large ¦Ë,47.38409254,32.66802216
Large ¦Ë,69.58268527,2.446552554
Large ¦Ë,3.998828757,19.82705907
Large ¦Ë,105.6779287,10.274348
Large ¦Ë,102.2894916,1.542233044
Large ¦Ë,61.98986621,26.20584582
